element,web_name,team,pos,price,xp,sd,xmins,p_start,n_fix,fpl_ep_next,matched_prior,naive_recent6,eligible,xp_next,xp_total,p6,p10,p15
331,Gudmundsson,LEE,DEF,4.5,3.243,2.181,82.4,0.975,1,0.7,True,0.667,1,3.24;3.15;2.74;3.09;3.45;2.60,18.27,22.4,2.6,0.2
148,Hato,CHE,DEF,4.5,3.239,1.983,75.2,0.862,1,2.7,True,2.667,0,3.24;2.44;2.66;2.81;3.30;2.72,17.17,29.7,1.4,0.1
175,van Ewijk,COV,DEF,4.0,3.232,2.09,82.1,0.978,1,2.0,False,2.0,1,3.23;3.21;3.27;3.39;3.54;3.86,20.5,21.5,2.0,0.1
201,Muñoz,NFO,DEF,5.4,3.218,2.354,74.4,0.876,1,0.3,True,0.333,1,3.22;3.72;2.91;3.51;3.34;2.90,19.6,20.5,3.0,0.3
305,Davis,IPS,DEF,4.0,3.216,2.357,81.6,0.972,1,3.0,False,3.0,1,3.22;3.63;4.04;2.91;4.06;3.69,21.55,21.2,2.5,0.4
598,Elvedi,LEE,DEF,4.5,3.214,2.07,72.0,0.813,1,1.7,False,1.667,1,3.21;3.13;2.82;3.09;3.37;2.65,18.27,26.3,2.1,0.1
105,Anthony,BRE,MID,6.0,3.211,1.978,77.2,0.894,1,1.3,True,1.333,1,3.21;3.47;3.37;3.63;3.25;3.53,20.46,17.3,1.6,0.2
70,Kluivert,BOU,MID,6.0,3.202,2.249,70.3,0.786,1,2.3,True,2.333,0,3.20;3.39;3.03;3.36;3.15;3.19,19.32,20.8,2.5,0.3
82,Kelleher,BRE,GKP,5.0,3.2,1.424,83.0,0.988,1,3.7,True,3.667,1,3.20;3.45;3.63;3.67;3.90;4.09,21.94,15.2,0.1,0
277,Egan,HUL,DEF,4.1,3.2,1.791,82.9,0.987,1,7.7,False,7.667,1,3.20;3.50;4.21;3.78;3.79;4.32,22.8,18.5,0.9,0.1
551,N.Angulo,SUN,MID,5.0,3.198,2.238,68.3,0.775,1,3.3,True,3.333,0,3.20;2.73;2.90;2.63;2.82;2.67,16.95,20.6,2.4,0.3
502,Robertson,TOT,DEF,4.5,3.19,2.143,67.8,0.747,1,2.0,True,2.0,0,3.19;3.13;2.52;3.24;2.39;2.88,17.35,27.4,2.1,0.2
491,Igor Jesus,NFO,FWD,5.9,3.188,2.047,73.5,0.835,1,1.3,True,1.333,1,3.19;3.14;3.11;3.89;3.00;3.12,19.45,23.6,3.0,0.3
